"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2001","319182",""
"United States of America","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2001","297568",""
"United States of America","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2001","332939",""
"United States of America","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2001","316889",""
"United States of America","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2001","328526",""
"United States of America","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2001","332201",""
"United States of America","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2001","349812",""
"United States of America","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2001","351371",""
"United States of America","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2001","349409",""
"United States of America","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2001","332980",""
"United States of America","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2001","315289",""
"United States of America","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2001","333251",""
"United States of America","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2000","3941553",""
"United States of America","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","2000","319340",""
"United States of America","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","2000","298711",""
"United States of America","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","2000","329436",""
"United States of America","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","2000","319758",""
"United States of America","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","2000","330519",""
"United States of America","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","2000","327091",""
"United States of America","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","2000","348651",""
"United States of America","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","2000","344736",""
"United States of America","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","2000","343384",""
"United States of America","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","2000","332790",""
"United States of America","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","2000","313241",""
"United States of America","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","2000","333896",""
"United States of America","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","3880894",""
"United States of America","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","317211",""
"United States of America","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","291541",""
"United States of America","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","321212",""
"United States of America","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","314230",""
"United States of America","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","330331",""
"United States of America","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","321867",""
"United States of America","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","346506",""
"United States of America","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","339122",""
"United States of America","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","333600",""
"United States of America","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","328657",""
"United States of America","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","307282",""
"United States of America","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","329335",""
"United States of America","1996","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1998","3891494",""
"United States of America","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","1998","314283",""
"United States of America","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","1998","301763",""
"United States of America","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","1998","322581",""
"United States of America","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","1998","312595",""
"United States of America","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","1998","325708",""
"United States of America","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","1998","318525",""
"United States of America","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","1998","345162",""
"United States of America","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","1998","346317",""
"United States of America","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","1998","336348",""
"United States of America","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","1998","336346",""
"United States of America","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","1998","309397",""
"United States of America","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","1998","322469",""
"United States of America","1995","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1997","3899589",""
"United States of America","1995","Total","January","Data tabulated by year of occurrence","Final figure, complete","1997","316013",""
"United States of America","1995","Total","February","Data tabulated by year of occurrence","Final figure, complete","1997","295094",""
"United States of America","1995","Total","March","Data tabulated by year of occurrence","Final figure, complete","1997","328503",""
"United States of America","1995","Total","April","Data tabulated by year of occurrence","Final figure, complete","1997","309119",""
"United States of America","1995","Total","May","Data tabulated by year of occurrence","Final figure, complete","1997","334543",""
"United States of America","1995","Total","June","Data tabulated by year of occurrence","Final figure, complete","1997","329805",""
"United States of America","1995","Total","July","Data tabulated by year of occurrence","Final figure, complete","1997","340873",""
"United States of America","1995","Total","August","Data tabulated by year of occurrence","Final figure, complete","1997","350737",""
"United States of America","1995","Total","September","Data tabulated by year of occurrence","Final figure, complete","1997","339103",""
"United States of America","1995","Total","October","Data tabulated by year of occurrence","Final figure, complete","1997","330012",""
"United States of America","1995","Total","November","Data tabulated by year of occurrence","Final figure, complete","1997","310817",""
"United States of America","1995","Total","December","Data tabulated by year of occurrence","Final figure, complete","1997","314970",""
"United States of America","1994","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1996","3952767",""
"United States of America","1994","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","320705",""
"United States of America","1994","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","301327",""
"United States of America","1994","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","339736",""
"United States of America","1994","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","317392",""
"United States of America","1994","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","330295",""
"United States of America","1994","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","329737",""
"United States of America","1994","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","345862",""
"United States of America","1994","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","352173",""
"United States of America","1994","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","339223",""
"United States of America","1994","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","330172",""
"United States of America","1994","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","319397",""
"United States of America","1994","Total","December","Data tabulated by year of occurrence","Final figure, complete","1996","326748",""
"United States of America","1993","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1995","4000240",""
"United States of America","1993","Total","January","Data tabulated by year of occurrence","Final figure, complete","1995","323073",""
"United States of America","1993","Total","February","Data tabulated by year of occurrence","Final figure, complete","1995","304656",""
"United States of America","1993","Total","March","Data tabulated by year of occurrence","Final figure, complete","1995","342187",""
"United States of America","1993","Total","April","Data tabulated by year of occurrence","Final figure, complete","1995","327042",""
"United States of America","1993","Total","May","Data tabulated by year of occurrence","Final figure, complete","1995","335989",""
"United States of America","1993","Total","June","Data tabulated by year of occurrence","Final figure, complete","1995","335349",""
"United States of America","1993","Total","July","Data tabulated by year of occurrence","Final figure, complete","1995","352554",""
"United States of America","1993","Total","August","Data tabulated by year of occurrence","Final figure, complete","1995","350898",""
"United States of America","1993","Total","September","Data tabulated by year of occurrence","Final figure, complete","1995","348013",""
"United States of America","1993","Total","October","Data tabulated by year of occurrence","Final figure, complete","1995","332937",""
"United States of America","1993","Total","November","Data tabulated by year of occurrence","Final figure, complete","1995","316379",""
"United States of America","1993","Total","December","Data tabulated by year of occurrence","Final figure, complete","1995","331163",""
"United States of America","1992","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1993","4084000",""
"United States of America","1992","Total","January","Data tabulated by year of occurrence","Final figure, complete","1993","334000",""
"United States of America","1992","Total","February","Data tabulated by year of occurrence","Final figure, complete","1993","304000",""
"United States of America","1992","Total","March","Data tabulated by year of occurrence","Final figure, complete","1993","360000",""
"United States of America","1992","Total","April","Data tabulated by year of occurrence","Final figure, complete","1993","330000",""
"United States of America","1992","Total","May","Data tabulated by year of occurrence","Final figure, complete","1993","361000",""
"United States of America","1992","Total","June","Data tabulated by year of occurrence","Final figure, complete","1993","333000",""
"United States of America","1992","Total","July","Data tabulated by year of occurrence","Final figure, complete","1993","352000",""
"United States of America","1992","Total","August","Data tabulated by year of occurrence","Final figure, complete","1993","350000",""
